"metraweather_key","wmo_id","bom_id","label","point"
"89564","89564","300001",Mawson,POINT (62.8753 -67.6017)
"89571","89571","300000",Davis,POINT (77.9672 -68.5744)
"89611","89611","300017",Casey,POINT (110.5231 -66.2825)
"89767","89767","300039",G3,POINT (69.8725 -70.8919)
"94100","94100","001019",Kalumburu,POINT (126.6453 -14.2964)
"94102","94102","001007",Troughton Island,POINT (126.1485 -13.7542)
"94170","94170","027045",Weipa Aero,POINT (141.9208 -12.6778)
"94171","94171","027075",Scherger Raaf,POINT (142.0869 -12.6167)
"94174","94174","027058",Horn Island,POINT (142.29 -10.5844)
"94182","94182","027054",Coconut Island,POINT (143.0686 -10.0511)
"94183","94183","027073",Coen Airport,POINT (143.1183 -13.7606)
"94186","94186","028008",Lockhart River Airport,POINT (143.3047 -12.785)
"94188","94188","031213",Cape Flattery,POINT (145.3106 -14.9672)
"94200","94200","004019",Mandora,POINT (120.8433 -19.7419)
"94203","94203","003003",Broome Airport,POINT (122.2352 -17.9475)
"94204","94204","003080",Curtin Aero,POINT (123.8297 -17.5768)
"94206","94206","003093",Fitzroy Crossing Aero,POINT (125.5619 -18.1814)
"94207","94207","200713",Rowley Shoals,POINT (118.9531 -17.5217)
"94210","94210","200735",Adele Island,POINT (123.1556 -15.5114)
"94216","94216","002056",Kununurra Aero,POINT (128.71 -15.7814)
"94217","94217","002064",Argyle Aerodrome,POINT (128.4516 -16.638)
"94255","94255","037010",Camooweal Township,POINT (138.1214 -19.9225)
"94260","94260","029077",Burketown Airport,POINT (139.5356 -17.7483)
"94261","94261","029167",Century Mine,POINT (138.7056 -18.7569)
"94266","94266","029063",Normanton Airport,POINT (141.0733 -17.6872)
"94268","94268","029038",Kowanyama Airport,POINT (141.7483 -15.4818)
"94274","94274","030124",Georgetown Airport,POINT (143.5306 -18.3039)
"94276","94276","028004",Palmerville,POINT (144.0754 -15.9999)
"94284","94284","200879",Arlington Reef,POINT (146.1124 -16.7226)
"94285","94285","031037",Low Isles Lighthouse,POINT (145.5592 -16.3842)
"94287","94287","031011",Cairns Aero,POINT (145.7458 -16.8736)
"94289","94289","200732",Holmes Reef,POINT (147.8734 -16.4683)
"94290","94290","200783",Flinders Reef,POINT (148.4478 -17.7195)
"94293","94293","200880",Lihou Reef Lighthouse,POINT (152.145 -17.133)
"94294","94294","032040",Townsville Aero,POINT (146.7661 -19.2483)
"94297","94297","032182",Cape Ferguson Ntc Aws,POINT (147.0586 -19.2774)
"94298","94298","200704",Marion Reef,POINT (152.3892 -19.0964)
"94299","94299","200283",Willis Island,POINT (149.9652 -16.2878)
"94300","94300","006011",Carnarvon Airport,POINT (113.67 -24.8878)
"94302","94302","005007",Learmonth Airport,POINT (114.0967 -22.2406)
"94303","94303","005084",Thevenard Island,POINT (115.0188 -21.4609)
"94306","94306","005008",Mardie,POINT (115.9797 -21.1906)
"94307","94307","004095",Legendre Island,POINT (116.8431 -20.3583)
"94308","94308","004090",Roebourne Aero,POINT (117.1583 -20.7594)
"94312","94312","004032",Port Hedland Airport,POINT (118.6317 -20.3725)
"94316","94316","007185",Paraburdoo Aero,POINT (117.7493 -23.1726)
"94317","94317","007176",Newman Aero,POINT (119.8023 -23.4213)
"94318","94318","006072",Emu Creek Station,POINT (115.0414 -23.0314)
"94319","94319","013030",Telfer Aero,POINT (122.2281 -21.7125)
"94332","94332","029127",Mount Isa Aero,POINT (139.4875 -20.6778)
"94335","94335","029141",Cloncurry Airport,POINT (140.505 -20.6664)
"94336","94336","037034",The Monument Airport,POINT (139.9267 -21.8125)
"94337","94337","029058",Julia Creek Airport,POINT (141.7214 -20.6672)
"94338","94338","037036",Trepell Airport,POINT (140.8925 -21.84)
"94341","94341","030161",Richmond Airport,POINT (143.1137 -20.7001)
"94342","94342","037039",Winton Airport,POINT (143.0836 -22.3617)
"94343","94343","030022",Hughenden Airport,POINT (144.2333 -20.8192)
"94346","94346","036031",Longreach Aero,POINT (144.2828 -23.4397)
"94363","94363","035264",Emerald Airport,POINT (148.1756 -23.5694)
"94365","94365","033247",Proserpine Airport,POINT (148.555 -20.4925)
"94367","94367","033119",Mackay M.o,POINT (149.2169 -21.1172)
"94368","94368","033106",Hamilton Island Airport,POINT (148.9536 -20.3658)
"94370","94370","033308",Samuel Hill Aero,POINT (150.6578 -22.7433)
"94371","94371","200736",Creal Reef,POINT (150.3773 -20.5303)
"94372","94372","200001",Middle Percy Island,POINT (150.2711 -21.6628)
"94373","94373","033294",Yeppoon The Esplanade,POINT (150.7506 -23.1364)
"94374","94374","039083",Rockhampton Aero,POINT (150.4775 -23.3753)
"94376","94376","039089",Thangool Airport,POINT (150.5709 -24.4935)
"94378","94378","039322",Rundle Island,POINT (151.2771 -23.5322)
"94379","94379","200831",Gannet Cay,POINT (152.4707 -21.9769)
"94380","94380","039123",Gladstone Radar,POINT (151.2628 -23.8553)
"94381","94381","039326",Gladstone Airport,POINT (151.2214 -23.8697)
"94386","94386","039122",Heron Island Res Stn,POINT (151.9125 -23.4417)
"94387","94387","039128",Bundaberg Aero,POINT (152.323 -24.9069)
"94388","94388","039059",Lady Elliot Island,POINT (152.7161 -24.1116)
"94393","94393","200701",Frederick Reef,POINT (154.4019 -20.9375)
"94394","94394","200601",Cato Island,POINT (155.542 -23.2503)
"94395","94395","035124",Clermont Airport,POINT (147.6217 -22.7756)
"94396","94396","035129",Rolleston Airport,POINT (148.6264 -24.4617)
"94397","94397","034035",Moranbah Airport,POINT (148.0758 -22.0644)
"94399","94399","035139",Lochington,POINT (147.525 -23.9424)
"94403","94403","008315",Geraldton Airport,POINT (114.6989 -28.8047)
"94405","94405","008290",North Island,POINT (113.5937 -28.3009)
"94417","94417","008296",Morawa Airport,POINT (116.0247 -29.2039)
"94429","94429","007600",Mount Magnet Aero,POINT (117.8425 -28.1156)
"94430","94430","007045",Meekatharra Airport,POINT (118.5372 -26.6136)
"94449","94449","012305",Laverton Aero,POINT (122.4236 -28.6133)
"94450","94450","012241",Leonora Aero,POINT (121.3186 -28.8789)
"94457","94457","013011",Warburton Airfield,POINT (126.5839 -26.1317)
"94461","94461","013017",Giles Meteorological Office,POINT (128.301 -25.0341)
"94474","94474","016097",Pukatja,POINT (132.1771 -26.2635)
"94476","94476","017043",Oodnadatta Airport,POINT (135.4456 -27.5553)
"94510","94510","044021",Charleville Aero,POINT (146.2558 -26.4139)
"94515","94515","043091",Roma Airport,POINT (148.771 -26.5477)
"94517","94517","043109",St George Airport,POINT (148.5957 -28.0478)
"94541","94541","056018",Inverell Research Centre,POINT (151.082 -29.7752)
"94549","94549","040922",Kingaroy Airport,POINT (151.8398 -26.5737)
"94552","94552","041359",Oakey Aero,POINT (151.7413 -27.4034)
"94553","94553","041175",Applethorpe,POINT (151.9533 -28.6217)
"94555","94555","041525",Warwick,POINT (152.1003 -28.2061)
"94562","94562","040082",University Of Queensland Gatton,POINT (152.3375 -27.5436)
"94566","94566","040093",Gympie,POINT (152.6414 -26.1831)
"94567","94567","040126",Maryborough,POINT (152.7152 -25.5132)
"94568","94568","040004",Amberley Amo,POINT (152.7111 -27.6297)
"94569","94569","040861",Sunshine Coast Airport,POINT (153.0912 -26.599)
"94570","94570","040908",Tewantin Rsl Park,POINT (153.0403 -26.3911)
"94572","94572","058214",Lismore Airport Aws,POINT (153.2601 -28.8305)
"94573","94573","058208",Casino Airport Aws,POINT (153.0618 -28.8824)
"94575","94575","040211",Archerfield Airport,POINT (153.0071 -27.5716)
"94576","94576","040913",Brisbane,POINT (153.0389 -27.4808)
"94578","94578","040842",Brisbane Aero,POINT (153.1292 -27.3917)
"94580","94580","040764",Gold Coast Seaway,POINT (153.4283 -27.939)
"94584","94584","040068",Double Island Point Lighthouse,POINT (153.1906 -25.9319)
"94588","94588","056243",Glen Innes Airport Aws,POINT (151.694 -29.678)
"94589","94589","058012",Yamba Pilot Station,POINT (153.3632 -29.4325)
"94590","94590","040926",Inner Reciprocal Marker,POINT (153.2419 -27.2633)
"94591","94591","040925",Banana Bank North Beacon,POINT (153.3333 -27.5327)
"94592","94592","040717",Coolangatta,POINT (153.5053 -28.1681)
"94594","94594","040043",Cape Moreton Lighthouse,POINT (153.4661 -27.0314)
"94596","94596","058198",Ballina Airport Aws,POINT (153.5585 -28.8353)
"94598","94598","058212",Evans Head Raaf Bombing Range Aws,POINT (153.3964 -29.183)
"94599","94599","058216",Cape Byron Aws,POINT (153.6358 -28.6399)
"94600","94600","009519",Cape Naturaliste,POINT (115.0189 -33.5372)
"94601","94601","009518",Cape Leeuwin,POINT (115.1358 -34.3728)
"94602","94602","009193",Rottnest Island,POINT (115.5022 -32.0069)
"94603","94603","009037",Badgingarra Research Stn,POINT (115.5394 -30.3381)
"94604","94604","009965",Bunbury,POINT (115.6447 -33.3567)
"94605","94605","009977",Mandurah,POINT (115.7119 -32.5219)
"94607","94607","009214",Ocean Reef,POINT (115.7278 -31.7594)
"94608","94608","009225",Perth Metro,POINT (115.8728 -31.9192)
"94609","94609","009172",Jandakot Aero,POINT (115.8794 -32.1011)
"94610","94610","009021",Perth Airport,POINT (115.9764 -31.9275)
"94612","94612","009053",Pearce Raaf,POINT (116.0189 -31.6669)
"94614","94614","009215",Swanbourne,POINT (115.7619 -31.956)
"94615","94615","009204",Gooseberry Hill,POINT (116.0506 -31.9414)
"94617","94617","009573",Manjimup,POINT (116.145 -34.2508)
"94620","94620","009538",Dwellingup,POINT (116.0594 -32.7103)
"94628","94628","010692",Newdegate Research Station,POINT (118.84 -33.1129)
"94631","94631","009964",Rocky Gully,POINT (117.0106 -34.5714)
"94637","94637","012038",Kalgoorlie-boulder Airport,POINT (121.4533 -30.7847)
"94638","94638","009789",Esperance,POINT (121.8925 -33.83)
"94641","94641","010916",Katanning,POINT (117.6064 -33.6856)
"94647","94647","011003",Eucla,POINT (128.8958 -31.6797)
"94651","94651","018106",Nullarbor,POINT (130.8976 -31.4492)
"94653","94653","018012",Ceduna Amo,POINT (133.6976 -32.1297)
"94655","94655","016098",Tarcoola Aero,POINT (134.5786 -30.7051)
"94659","94659","016001",Woomera Aerodrome,POINT (136.8054 -31.1558)
"94662","94662","018116",Cleve Aerodrome,POINT (136.5026 -33.7081)
"94666","94666","022053",Warburto Point,POINT (137.528 -34.0041)
"94672","94672","023034",Adelaide Airport,POINT (138.5196 -34.9524)
"94674","94674","017110",Leigh Creek Airport,POINT (138.4219 -30.5963)
"94677","94677","023894",Hindmarsh Island Aws,POINT (138.8177 -35.5194)
"94678","94678","023878",Mount Crawford Aws,POINT (138.9278 -34.7253)
"94681","94681","023373",Nuriootpa Pirsa,POINT (139.0056 -34.4761)
"94682","94682","024024",Loxton Research Centre,POINT (140.5978 -34.439)
"94683","94683","023887",Kuitpo Forest Reserve,POINT (138.6783 -35.1712)
"94684","94684","020062",Yunta Airstrip,POINT (139.5645 -32.5707)
"94685","94685","022050",Kadina Aws,POINT (137.6628 -33.9703)
"94686","94686","046128",Fowlers Gap Aws,POINT (141.7008 -31.0863)
"94690","94690","025562",Austin Plains,POINT (140.5378 -35.3778)
"94691","94691","047048",Broken Hill Airport Aws,POINT (141.4694 -32.0012)
"94693","94693","076031",Mildura Airport,POINT (142.0867 -34.2358)
"94702","94702","075019",Hay Airport Aws,POINT (144.8345 -34.5412)
"94703","94703","048245",Bourke Airport Aws,POINT (145.9521 -30.0362)
"94710","94710","048237",Cobar Airport Aws,POINT (145.7964 -31.5388)
"94711","94711","048027",Cobar Mo,POINT (145.8294 -31.484)
"94712","94712","073138",Young Airport,POINT (148.2475 -34.2493)
"94715","94715","065103",Forbes Airport Aws,POINT (147.9205 -33.3627)
"94727","94727","062101",Mudgee Airport Aws,POINT (149.6149 -32.5628)
"94729","94729","063291",Bathurst Airport Aws,POINT (149.654 -33.4119)
"94743","94743","063292",Mount Boyce Aws,POINT (150.2741 -33.6185)
"94746","94746","068239",Moss Vale Aws,POINT (150.4217 -34.5253)
"94750","94750","068072",Nowra Ran Air Station Aws,POINT (150.5353 -34.9469)
"94752","94752","067108",Badgerys Creek Aws,POINT (150.7281 -33.8969)
"94754","94754","062100",Nullo Mountain Aws,POINT (150.229 -32.7244)
"94755","94755","068192",Camden Airport Aws,POINT (150.689 -34.039)
"94757","94757","068257",Campbelltown (Mount Annan),POINT (150.7735 -34.0615)
"94759","94759","066059",Terrey Hills Aws,POINT (151.2253 -33.6908)
"94760","94760","067119",Horsley Park Equestrian Centre Aws,POINT (150.8567 -33.851)
"94763","94763","067113",Penrith Lakes Aws,POINT (150.6783 -33.7195)
"94765","94765","066137",Bankstown Airport Aws,POINT (150.9837 -33.9176)
"94766","94766","066194",Canterbury Racecourse Aws,POINT (151.1134 -33.9057)
"94767","94767","066037",Sydney Airport Amo,POINT (151.1731 -33.9465)
"94769","94769","066022",Fort Denison,POINT (151.2254 -33.8551)
"94774","94774","061055",Newcastle Nobbys Signal Station Aws,POINT (151.7985 -32.9184)
"94775","94775","061250",Tocal Aws,POINT (151.5919 -32.6296)
"94776","94776","061078",Williamtown Raaf,POINT (151.8364 -32.7939)
"94780","94780","066051",Little Bay (The Coast Golf Club),POINT (151.2502 -33.9829)
"94785","94785","059007",Kempsey Airport Aws,POINT (152.7717 -31.0711)
"94802","94802","009999",Albany Airport,POINT (117.8158 -34.9411)
"94804","94804","018115",Neptune Island,POINT (136.1174 -35.3365)
"94807","94807","022843",Parndana Cfs Aws,POINT (137.2496 -35.7916)
"94808","94808","023885",Noarlunga,POINT (138.5057 -35.1586)
"94809","94809","022046",Edithburgh,POINT (137.7395 -35.1121)
"94811","94811","023875",Second Valley Forest Aws,POINT (138.2864 -35.5695)
"94813","94813","026095",The Limestone,POINT (139.7164 -36.9655)
"94814","94814","024580",Strathalbyn Racecourse,POINT (138.8934 -35.2836)
"94817","94817","026091",Coonawarra,POINT (140.8254 -37.2906)
"94820","94820","026099",Naracoorte Aerodrome,POINT (140.727 -36.9813)
"94821","94821","026021",Mount Gambier Aero,POINT (140.7739 -37.7473)
"94822","94822","022803",Cape Willoughby,POINT (138.1327 -35.8426)
"94826","94826","090184",Cape Nelson Lighthouse,POINT (141.5437 -38.4306)
"94827","94827","078015",Nhill Aerodrome,POINT (141.6486 -36.3093)
"94829","94829","090173",Hamilton Airport,POINT (142.0636 -37.6486)
"94833","94833","079103",Mount William,POINT (142.6039 -37.295)
"94835","94835","079101",Ben Nevis,POINT (143.2005 -37.2281)
"94836","94836","079105",Stawell Aerodrome,POINT (142.7402 -37.072)
"94838","94838","077010",Hopetoun Airport,POINT (142.3569 -35.7151)
"94839","94839","080128",Charlton,POINT (143.3341 -36.2846)
"94840","94840","090176",Mortlake Racecourse,POINT (142.7744 -38.0737)
"94842","94842","090015",Cape Otway Lighthouse,POINT (143.513 -38.8557)
"94843","94843","077094",Swan Hill Aerodrome,POINT (143.5416 -35.3766)
"94846","94846","090180",Aireys Inlet,POINT (144.0883 -38.4583)
"94850","94850","098017",King Island Airport,POINT (143.8857 -39.8804)
"94852","94852","089002",Ballarat Aerodrome,POINT (143.7911 -37.5127)
"94853","94853","086344",South Channel Island,POINT (144.8016 -38.3065)
"94854","94854","087113",Avalon Airport,POINT (144.4783 -38.0288)
"94855","94855","081123",Bendigo Airport,POINT (144.3274 -36.7411)
"94857","94857","087184",Geelong Racecourse,POINT (144.3765 -38.1737)
"94859","94859","088051",Redesdale,POINT (144.5203 -37.0194)
"94860","94860","088162",Kilmore Gap,POINT (144.9654 -37.3807)
"94862","94862","081124",Yarrawonga,POINT (146.0305 -36.0294)
"94864","94864","086383",Coldstream,POINT (145.4092 -37.7239)
"94865","94865","087031",Laverton Raaf,POINT (144.7565 -37.8565)
"94866","94866","086282",Melbourne Airport,POINT (144.8322 -37.6654)
"94870","94870","086077",Moorabbin Airport,POINT (145.0962 -37.98)
"94871","94871","086371",Frankston Beach,POINT (145.1152 -38.148)
"94872","94872","086266",Ferny Creek,POINT (145.3497 -37.8748)
"94874","94874","088109",Mangalore Airport,POINT (145.1859 -36.8886)
"94875","94875","081125",Shepparton Airport,POINT (145.3949 -36.4288)
"94878","94878","082139",Hunters Hill,POINT (147.5395 -36.2137)
"94881","94881","088164",Eildon Fire Tower,POINT (145.8423 -37.2091)
"94886","94886","085099",Pound Creek,POINT (145.8107 -38.6297)
"94889","94889","082138",Wangaratta Aero,POINT (146.3056 -36.4205)
"94891","94891","085280",Latrobe Valley Airport,POINT (146.4746 -38.2094)
"94892","94892","086373",Rhyll,POINT (145.3101 -38.4612)
"94893","94893","085096",Wilsons Promontory Lighthouse,POINT (146.4246 -39.1297)
"94894","94894","083024",Mount Buller,POINT (146.4394 -37.145)
"94898","94898","086361",Cerberus,POINT (145.1785 -38.3646)
"94903","94903","083084",Falls Creek,POINT (147.2755 -36.8708)
"94905","94905","083055",Mount Hotham Airport,POINT (147.3347 -37.0491)
"94906","94906","083085",Mount Hotham,POINT (147.1342 -36.9772)
"94908","94908","083090",Omeo,POINT (147.6008 -37.1017)
"94910","94910","072150",Wagga Wagga Amo,POINT (147.4575 -35.1583)
"94912","94912","085279",Bairnsdale Airport,POINT (147.5669 -37.8818)
"94913","94913","084142",Gelantipy,POINT (148.2626 -37.22)
"94914","94914","084143",Combienbar Aws,POINT (149.0227 -37.3416)
"94915","94915","071075",Perisher Valley Aws,POINT (148.4055 -36.4069)
"94919","94919","072162",Khancoban Aws,POINT (148.1405 -36.2304)
"94921","94921","070217",Cooma Airport Aws,POINT (148.9725 -36.2939)
"94925","94925","070339",Tuggeranong (Isabella Plains) Aws,POINT (149.0937 -35.4184)
"94926","94926","070351",Canberra Airport,POINT (149.2004 -35.3088)
"94927","94927","069132",Braidwood Racecourse Aws,POINT (149.7835 -35.4253)
"94930","94930","084144",Mount Nowa Nowa,POINT (148.0908 -37.6924)
"94933","94933","084016",Gabo Island Lighthouse,POINT (149.9158 -37.5679)
"94934","94934","069137",Green Cape Aws,POINT (150.0504 -37.2622)
"94935","94935","084084",Mallacoota,POINT (149.7289 -37.5976)
"94938","94938","069138",Ulladulla Aws,POINT (150.4828 -35.3635)
"94939","94939","069017",Montague Island Lighthouse,POINT (150.2275 -36.2519)
"94949","94949","200838",Hogan Island,POINT (146.9841 -39.2225)
"94951","94951","094254",Dunalley (Stroud Point),POINT (147.7894 -42.9017)
"94953","94953","091292",Smithton Aerodrome,POINT (145.0847 -40.8347)
"94956","94956","097072",Strahan Aerodrome,POINT (145.2908 -42.155)
"94957","94957","095048",Ouse Fire Station,POINT (146.7106 -42.4842)
"94959","94959","096003",Butlers Gorge,POINT (146.2758 -42.2753)
"94960","94960","094195",Tunnack Fire Station,POINT (147.4612 -42.4543)
"94962","94962","094041",Maatsuyker Island Lighthouse,POINT (146.2711 -43.6578)
"94964","94964","095003",Bushy Park (Bushy Park Estates),POINT (146.8983 -42.7097)
"94969","94969","091237",Launceston (Ti Tree Bend),POINT (147.1219 -41.4194)
"94970","94970","094029",Hobart (Ellerslie Road),POINT (147.3278 -42.8897)
"94972","94972","091219",Scottsdale (West Minstone Road),POINT (147.4883 -41.1708)
"94974","94974","097000",Cape Sorell,POINT (145.17 -42.1986)
"94977","94977","094191",Hartz Mountain (Keoghs Pimple),POINT (146.7683 -43.2006)
"94980","94980","099005",Flinders Island Airport,POINT (148.0024 -40.0911)
"94983","94983","092045",Larapuna (Eddystone Point),POINT (148.3467 -40.9928)
"94987","94987","092114",Friendly Beaches,POINT (148.2794 -41.9953)
"94995","94995","200839",Lord Howe Island Aero,POINT (159.0786 -31.5421)
"94996","94996","200288",Norfolk Island Aero,POINT (167.9408 -29.0389)
"94998","94998","300004",Macquarie Island,POINT (158.9369 -54.4994)
"95101","95101","001020",Truscott,POINT (126.3867 -14.09)
"95202","95202","003102",Broome Ntc Aws,POINT (122.2176 -18.0015)
"95205","95205","003032",Derby Aero,POINT (123.6611 -17.3706)
"95214","95214","001006",Wyndham Aero,POINT (128.1503 -15.51)
"95283","95283","031209",Cooktown Airport,POINT (145.1861 -15.4461)
"95286","95286","031210",Mareeba Airport,POINT (145.4293 -17.0704)
"95288","95288","200840",Bougainville Reef,POINT (147.1183 -15.4877)
"95292","95292","032037",South Johnstone Exp Stn,POINT (145.9972 -17.6053)
"95295","95295","033002",Ayr Dpi Research Stn,POINT (147.3758 -19.6169)
"95296","95296","033295",Alva Beach,POINT (147.4833 -19.4569)
"95298","95298","033208",Rosslyn Bay Ntc Aws,POINT (150.7901 -23.161)
"95303","95303","200100",Varanus Island,POINT (115.5769 -20.655)
"95304","95304","005094",Barrow Island Airport,POINT (115.4066 -20.874)
"95305","95305","005017",Onslow Airport,POINT (115.1092 -21.6689)
"95307","95307","004083",Karratha Aero,POINT (116.7742 -20.7097)
"95317","95317","004106",Marble Bar,POINT (119.7497 -21.1756)
"95351","95351","036034",Blackall Airport,POINT (145.4306 -24.4303)
"95367","95367","033045",Mackay Aero,POINT (149.1794 -21.1706)
"95369","95369","033210",St Lawrence,POINT (149.5242 -22.3472)
"95402","95402","006105",Shark Bay Airport,POINT (113.5772 -25.8925)
"95448","95448","012314",Leinster Aero,POINT (120.7031 -27.8386)
"95458","95458","016090",Coober Pedy Airport,POINT (134.7222 -29.0347)
"95480","95480","017126",Marree Aero,POINT (138.0684 -29.6587)
"95481","95481","017123",Moomba Airport,POINT (140.1956 -28.0997)
"95482","95482","038026",Birdsville Airport,POINT (139.3472 -25.8975)
"95485","95485","046126",Tibooburra Airport,POINT (142.0567 -29.4448)
"95487","95487","045009",Ballera Gas Field,POINT (141.8114 -27.4008)
"95492","95492","045025",Thargomindah Airport,POINT (143.815 -27.9867)
"95527","95527","053115",Moree Aero,POINT (149.8471 -29.4898)
"95529","95529","042112",Miles Constance Street,POINT (150.1819 -26.6569)
"95543","95543","039066",Gayndah Airport,POINT (151.6156 -25.6167)
"95551","95551","041529",Toowoomba Airport,POINT (151.9134 -27.5425)
"95565","95565","040405",Hervey Bay Airport,POINT (152.8817 -25.322)
"95566","95566","040284",Beerburrum Forest Station,POINT (152.9619 -26.9586)
"95570","95570","058161",Grafton Airport Aws,POINT (153.0297 -29.7583)
"95571","95571","058077",Grafton Research Stn,POINT (152.9605 -29.6224)
"95572","95572","040988",Nambour Daff - Hillside,POINT (152.9383 -26.6442)
"95575","95575","040983",Beaudesert Drumley Street,POINT (152.9898 -27.9707)
"95591","95591","040958",Redcliffe,POINT (153.0922 -27.2169)
"95602","95602","009937",Busselton Jetty,POINT (115.3383 -33.6294)
"95605","95605","009265",Hillarys Boat Harbour Ntc Aws,POINT (115.7386 -31.8256)
"95607","95607","009256",Garden Island Hsf,POINT (115.6839 -32.2433)
"95610","95610","009240",Bickley,POINT (116.1369 -32.0072)
"95611","95611","009603",Busselton Aero,POINT (115.4026 -33.6818)
"95612","95612","009178",Gingin Aero,POINT (115.8642 -31.4628)
"95620","95620","009091",Inner Dolphin Pylon,POINT (115.8311 -31.9889)
"95621","95621","009994",Collie East,POINT (116.1717 -33.3608)
"95625","95625","010286",Cunderdin Airfield,POINT (117.2217 -31.6219)
"95629","95629","008297",Dalwallinu,POINT (116.6714 -30.2761)
"95632","95632","009617",Bridgetown,POINT (116.1311 -33.9486)
